ID_Evaluacion,ID_Empleado,Fecha_Eval,Puntuacion,Comentarios,Evaluador
1,354,2024-01-05,3.09,Explicabo tempore corporis vero commodi eligendi.,Reinaldo Garcés Fajardo
2,72,2024-04-26,3.76,Unde mollitia impedit odio blanditiis.,Mario Busquets-Iglesia
3,654,2025-03-16,4.93,Nostrum vero mollitia ullam reiciendis consectetur.,Begoña Viana Palacios
4,502,2024-12-27,3.42,Voluptate eos voluptatum.,Jesús Segura Pou
5,52,2023-10-09,4.53,Numquam vitae rerum cumque amet ducimus.,Rogelio Hierro
6,844,2024-09-26,3.47,Vitae laboriosam aliquam porro veniam rem.,Agustina Patiño-Elías
7,998,2024-10-19,4.31,Eos omnis dignissimos iste omnis iure.,Isaías Angelino Lucas Manzano
8,60,2023-09-09,4.6,Reprehenderit quidem maiores repellat ipsum.,Josefina Fernández-Vallés
9,914,2023-07-19,3.55,Reprehenderit iste laudantium eligendi enim.,Mohamed del Salazar
10,732,2024-09-14,3.1,Beatae molestias vel quasi reprehenderit commodi.,Águeda Saavedra Barberá
11,853,2024-12-17,3.4,Earum similique atque facere eius dolorem.,Ibán Heraclio Bello Cañete
12,892,2023-07-01,3.08,Quas hic voluptates beatae veritatis quis.,Miriam Marqués Fabregat
13,269,2023-12-30,3.45,Libero eaque dolor fuga modi.,Águeda Lorenzo Leon
14,237,2025-04-20,4.54,Omnis mollitia adipisci sit vitae aperiam.,Óscar de Quero
15,533,2025-05-09,4.75,Omnis totam pariatur omnis.,Toni Chacón
16,766,2024-04-29,3.51,Mollitia doloribus voluptates provident non reprehenderit.,Óscar Tomás-Heredia
17,812,2024-07-05,3.42,Beatae enim autem ad inventore.,Jimena Florina Tejada Sola
18,931,2024-08-21,3.1,Qui vero dolores explicabo delectus quisquam.,Ismael Haro Hidalgo
19,22,2025-01-27,4.38,Asperiores cum temporibus.,Hernando Ferrández-Pagès
20,239,2023-07-05,3.97,Consequuntur facere laborum minima vitae.,Salud Losada-Cordero
21,13,2024-01-09,4.22,Repudiandae quas sit.,Plinio Godoy Llamas
22,571,2025-03-08,4.34,Necessitatibus dicta maiores pariatur.,Alcides de Bastida
23,263,2024-08-02,3.94,Ea vero soluta quasi.,Begoña Máxima Cerezo Espejo
24,256,2024-07-24,3.27,Quia officiis dolore quibusdam ducimus numquam.,Paulina Castilla Egea
25,594,2024-05-02,4.01,Odio nulla minus animi adipisci odit.,Artemio Cámara Coronado
26,337,2024-11-08,4.16,Sed illum asperiores facere.,Berta Benavides Valencia
27,666,2024-05-04,2.58,Voluptas repudiandae quibusdam nobis quibusdam accusamus.,Jose Miguel Álamo
28,593,2025-05-22,3.58,Repudiandae temporibus dicta.,Cornelio Miralles Isern
29,413,2023-07-16,3.4,Expedita ratione distinctio neque.,Laura Bárcena
30,876,2024-02-20,3.37,Earum rem rem odit.,Luisa Márquez Guzman
31,113,2025-05-20,3.28,Dolores libero praesentium voluptates.,Florina Olmo Bernad
32,375,2024-09-21,4.93,Corporis laboriosam porro.,Mauricio Cobo Fuente
33,594,2025-01-13,3.73,Maxime minus dolorum porro.,Juan Antonio Arribas Rosselló
34,225,2025-04-12,4.31,Velit iste eum.,Zaida Cabello Yáñez
35,742,2024-10-21,4.23,Omnis soluta ex.,Julie Manzano Saura
36,616,2025-04-20,2.87,Dignissimos optio delectus.,Saturnino Mármol Cáceres
37,520,2024-07-06,4.37,Temporibus tempora autem quo officia.,Josué Chaparro-Alonso
38,804,2025-04-30,4.6,Non fuga neque minima sint assumenda.,Valerio del Zorrilla
39,725,2024-11-29,3.51,Magnam ab ut ea perferendis autem.,Sol Torralba Rivero
40,482,2023-12-09,4.11,Nam exercitationem magnam repellat nisi.,Renato Aguilera España
41,854,2024-08-27,2.61,Suscipit accusantium sed corporis.,Rómulo Aroca Noguera
42,837,2024-01-17,3.98,Officiis fuga omnis cum architecto.,Fulgencio de Espejo
43,830,2023-08-19,4.46,Ipsum saepe corporis in harum voluptas.,Susanita Quero Bello
44,258,2023-08-04,4.02,Architecto omnis excepturi totam provident.,Ildefonso del Feliu
45,545,2023-10-10,3.53,Delectus ab accusamus.,Teófilo Rubio Bonet
46,74,2025-03-29,4.69,Voluptas aliquam velit.,Armando Amor Zurita Gutiérrez
47,610,2023-09-23,4.8,Minus eum illo occaecati ex.,Diana Verdejo
48,359,2024-02-03,3.47,Quod distinctio fuga unde.,Débora Álamo-Escamilla
49,333,2025-02-26,2.72,Alias mollitia unde numquam accusamus totam.,Calista Montes Gallo
50,569,2025-06-10,2.95,Impedit distinctio doloribus.,Felix Tovar
51,493,2023-07-04,4.51,Possimus laboriosam quas repellat.,Felipe Crespo Palau
52,359,2024-05-10,2.96,Eligendi ab in ipsam.,Victor Manuel Solana-Barba
53,882,2025-02-27,4.9,At sapiente tempora et hic.,Lázaro Solé Murillo
54,68,2024-08-29,2.53,Debitis fuga provident accusamus unde.,Isidora Cadenas Larrea
55,218,2023-07-13,4.67,Eius iusto neque autem.,Víctor Pozo Muñoz
56,63,2023-06-25,2.91,Pariatur commodi quis maxime.,Evelia Reig
57,859,2023-07-16,3.06,Voluptates culpa similique consequuntur.,Nicolás Clemente Querol
58,186,2023-10-16,3.98,Quae saepe illo.,Lorenza Sevilla Fabregat
59,518,2024-07-26,4.55,Ipsum tempore excepturi esse.,Fabricio Hierro Bartolomé
60,501,2024-11-07,2.97,Doloremque sunt incidunt ab nulla.,Hermenegildo Díaz Sola
61,569,2025-02-09,3.76,Consequuntur commodi itaque architecto odio.,Lorenza Vendrell Cisneros
62,414,2023-08-31,3.43,Totam animi saepe corrupti possimus.,Paz Castells Jáuregui
63,483,2024-03-17,2.94,Totam cupiditate illo.,Severo Arnau Lorenzo
64,144,2025-05-01,2.73,Porro aspernatur beatae incidunt rem.,María Ángeles Losa
