ID_Feedback,ID_Empleado,Fecha,Tipo,Comentario,Evaluador
1,777,2025-05-10,1:1,Meeting certainly should be walk operation city.,Maria Pennington
2,348,2024-10-17,1:1,Form player skill south marriage billion.,Anthony Baker Jr.
3,467,2025-04-18,Peer,Catch certain save ok.,Veronica Reid
4,618,2025-02-24,Peer,Always learn along alone single blue baby.,Timothy Jones
5,768,2025-02-01,Peer,Cultural quite speech decide education paper.,Michelle Shepard
6,664,2024-10-05,Peer,Certain collection now new consumer Republican right remember clearly.,Jessica Woods
7,840,2024-11-11,Cliente Interno,Top several arm federal pass.,Leslie Shaw
8,709,2025-05-25,Cliente Interno,Bar one church bed better pass throughout light.,Kevin Li
9,237,2025-02-23,Cliente Interno,Out religious industry sound over unit whom it tell.,Jonathan Bird
10,815,2024-11-27,Cliente Interno,Health weight determine child short woman answer suffer car.,Kelly Wells
11,411,2024-11-06,Cliente Interno,General give hospital turn strong minute style.,Andrea Bowers
12,992,2024-08-18,Cliente Interno,Support themselves bring force dark friend you war help.,Molly Mcgrath
13,592,2025-03-28,Cliente Interno,Partner exactly company listen including police.,Ronald Harrell
14,490,2025-04-07,Peer,Various environmental seat free available.,Kathleen Fisher
15,998,2024-09-30,Cliente Interno,Image political magazine generation house level.,Xavier Navarro
16,473,2024-06-20,Cliente Interno,You who collection determine century green.,Dylan Knight
17,437,2024-09-16,Peer,Start rock security thus agency true movement.,James Smith
18,821,2024-07-30,Cliente Interno,Point change born lot someone culture police whatever thought.,Michelle Russell
19,904,2025-05-09,Cliente Interno,Great piece positive son.,Martin Wright
20,427,2025-02-21,1:1,Spring none point oil.,Christopher Davis
21,276,2025-01-26,1:1,Support stock region at amount today have turn.,James Taylor
22,549,2025-02-17,Cliente Interno,Or clear view report.,Douglas Thompson
23,481,2025-03-11,1:1,Study expect production four.,Eddie Huffman
24,972,2024-10-24,Cliente Interno,Leader including federal per.,Heidi Young
25,475,2025-01-16,Cliente Interno,New leave course purpose particularly never food describe.,Jacqueline Morris
26,432,2024-09-18,1:1,Artist discuss several probably really where drug.,Kelly Rodriguez
27,295,2024-08-11,Peer,At enter explain her hair.,Ian Welch
28,379,2024-07-05,Cliente Interno,Product least city listen forward face.,Brandon Walters
